Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
5/20/2020,2/1/2020,5/16/2020,AL,Etowah County,1055,11,432
5/20/2020,2/1/2020,5/16/2020,AL,Houston County,1069,24,542
5/20/2020,2/1/2020,5/16/2020,AL,Jefferson County,1073,79,2675
5/20/2020,2/1/2020,5/16/2020,AL,Lee County,1081,43,362
5/20/2020,2/1/2020,5/16/2020,AL,Madison County,1089,10,1149
5/20/2020,2/1/2020,5/16/2020,AL,Mobile County,1097,70,1453
5/20/2020,2/1/2020,5/16/2020,AL,Montgomery County,1101,22,812
5/20/2020,2/1/2020,5/16/2020,AL,Shelby County,1117,14,365
5/20/2020,2/1/2020,5/16/2020,AL,Tallapoosa County,1123,35,180
5/20/2020,2/1/2020,5/16/2020,AL,Tuscaloosa County,1125,16,601
5/20/2020,2/1/2020,5/16/2020,AZ,Coconino County,4005,72,397
5/20/2020,2/1/2020,5/16/2020,AZ,Maricopa County,4013,258,11613
5/20/2020,2/1/2020,5/16/2020,AZ,Mohave County,4015,15,973
5/20/2020,2/1/2020,5/16/2020,AZ,Navajo County,4017,11,296
5/20/2020,2/1/2020,5/16/2020,AZ,Pima County,4019,136,3587
5/20/2020,2/1/2020,5/16/2020,AZ,Pinal County,4021,12,778
5/20/2020,2/1/2020,5/16/2020,AR,Jefferson County,5069,18,286
5/20/2020,2/1/2020,5/16/2020,AR,Pulaski County,5119,26,1877
5/20/2020,2/1/2020,5/16/2020,CA,Alameda County,6001,70,3261
5/20/2020,2/1/2020,5/16/2020,CA,Contra Costa County,6013,26,2479
5/20/2020,2/1/2020,5/16/2020,CA,Fresno County,6019,11,2221
5/20/2020,2/1/2020,5/16/2020,CA,Kern County,6029,12,1822
5/20/2020,2/1/2020,5/16/2020,CA,Los Angeles County,6037,1188,21658
5/20/2020,2/1/2020,5/16/2020,CA,Marin County,6041,13,581
5/20/2020,2/1/2020,5/16/2020,CA,Orange County,6059,77,6303
5/20/2020,2/1/2020,5/16/2020,CA,Placer County,6061,15,1176
5/20/2020,2/1/2020,5/16/2020,CA,Riverside County,6065,161,5398
5/20/2020,2/1/2020,5/16/2020,CA,Sacramento County,6067,40,3685
5/20/2020,2/1/2020,5/16/2020,CA,San Bernardino County,6071,120,4489
5/20/2020,2/1/2020,5/16/2020,CA,San Diego County,6073,179,7011
5/20/2020,2/1/2020,5/16/2020,CA,San Francisco County,6075,35,1891
5/20/2020,2/1/2020,5/16/2020,CA,San Joaquin County,6077,19,1651
5/20/2020,2/1/2020,5/16/2020,CA,San Mateo County,6081,63,1479
5/20/2020,2/1/2020,5/16/2020,CA,Santa Clara County,6085,118,3435
5/20/2020,2/1/2020,5/16/2020,CA,Solano County,6095,11,1053
5/20/2020,2/1/2020,5/16/2020,CA,Stanislaus County,6099,19,1561
5/20/2020,2/1/2020,5/16/2020,CA,Tulare County,6107,45,960
5/20/2020,2/1/2020,5/16/2020,CA,Ventura County,6111,21,1754
5/20/2020,2/1/2020,5/16/2020,CA,Yolo County,6113,16,365
5/20/2020,2/1/2020,5/16/2020,CO,Adams County,8001,120,1152
5/20/2020,2/1/2020,5/16/2020,CO,Arapahoe County,8005,237,1627
5/20/2020,2/1/2020,5/16/2020,CO,Boulder County,8013,55,787
5/20/2020,2/1/2020,5/16/2020,CO,Broomfield County,8014,13,117
5/20/2020,2/1/2020,5/16/2020,CO,Chaffee County,8015,13,61
5/20/2020,2/1/2020,5/16/2020,CO,Denver County,8031,166,1771
5/20/2020,2/1/2020,5/16/2020,CO,Douglas County,8035,43,525
5/20/2020,2/1/2020,5/16/2020,CO,El Paso County,8041,69,1608
5/20/2020,2/1/2020,5/16/2020,CO,Jefferson County,8059,102,1628
5/20/2020,2/1/2020,5/16/2020,CO,Larimer County,8069,28,836
5/20/2020,2/1/2020,5/16/2020,CO,Montrose County,8085,11,146
5/20/2020,2/1/2020,5/16/2020,CO,Morgan County,8087,19,85
5/20/2020,2/1/2020,5/16/2020,CO,Pueblo County,8101,10,648
5/20/2020,2/1/2020,5/16/2020,CO,Weld County,8123,89,570
5/20/2020,2/1/2020,5/16/2020,CT,Fairfield County,9001,273,992
5/20/2020,2/1/2020,5/16/2020,CT,Hartford County,9003,194,1070
5/20/2020,2/1/2020,5/16/2020,CT,Litchfield County,9005,24,154
5/20/2020,2/1/2020,5/16/2020,CT,Middlesex County,9007,23,162
5/20/2020,2/1/2020,5/16/2020,CT,New Haven County,9009,137,1017
5/20/2020,2/1/2020,5/16/2020,CT,Tolland County,9013,11,70
5/20/2020,2/1/2020,5/16/2020,DE,Kent County,10001,18,489
5/20/2020,2/1/2020,5/16/2020,DE,New Castle County,10003,80,1425
5/20/2020,2/1/2020,5/16/2020,DE,Sussex County,10005,87,783
5/20/2020,2/1/2020,5/16/2020,DC,District of Columbia,11001,205,1945
5/20/2020,2/1/2020,5/16/2020,FL,Alachua County,12001,16,1076
5/20/2020,2/1/2020,5/16/2020,FL,Brevard County,12009,10,2300
5/20/2020,2/1/2020,5/16/2020,FL,Broward County,12011,259,4916
5/20/2020,2/1/2020,5/16/2020,FL,Charlotte County,12015,33,1006
5/20/2020,2/1/2020,5/16/2020,FL,Citrus County,12017,10,868
5/20/2020,2/1/2020,5/16/2020,FL,Clay County,12019,16,680
5/20/2020,2/1/2020,5/16/2020,FL,Collier County,12021,28,1188
5/20/2020,2/1/2020,5/16/2020,FL,Duval County,12031,33,2994
5/20/2020,2/1/2020,5/16/2020,FL,Escambia County,12033,22,1420
5/20/2020,2/1/2020,5/16/2020,FL,Hillsborough County,12057,40,3740
5/20/2020,2/1/2020,5/16/2020,FL,Lake County,12069,21,1264
5/20/2020,2/1/2020,5/16/2020,FL,Lee County,12071,44,2383
5/20/2020,2/1/2020,5/16/2020,FL,Leon County,12073,10,826
5/20/2020,2/1/2020,5/16/2020,FL,Manatee County,12081,71,1402
5/20/2020,2/1/2020,5/16/2020,FL,Martin County,12085,16,643
5/20/2020,2/1/2020,5/16/2020,FL,Miami-Dade County,12086,419,6869
5/20/2020,2/1/2020,5/16/2020,FL,Orange County,12095,50,3050
5/20/2020,2/1/2020,5/16/2020,FL,Osceola County,12097,16,757
5/20/2020,2/1/2020,5/16/2020,FL,Palm Beach County,12099,238,5117
5/20/2020,2/1/2020,5/16/2020,FL,Pasco County,12101,12,1995
5/20/2020,2/1/2020,5/16/2020,FL,Pinellas County,12103,54,3878
5/20/2020,2/1/2020,5/16/2020,FL,Polk County,12105,25,2223
5/20/2020,2/1/2020,5/16/2020,FL,St. Lucie County,12111,15,1069
